Exercise Log,,Week 1,,,,,,Week 2,,,,,,Week 3,,,,,,Week 4,,,,,,Week 5,,,,,,Week 6,,,,,,Week 7,,,,,,Week 8,,,,,,Week 9,,,,,,Week 10,,,,,,Week 11,,,,,,Week 12,,,,,,Week 13,,,,,,Week 14,,,,,,Week 15,,,,,,Week 16,,,,,,Week 17,,,,,,Week 18,,,,,,Week 19,,,,,,Week 20,,,,,,Week 21,,,,,,Week 22,,,,,,Week 23,,,,,,Week 24,,,,,,Week 25,,,,,,Week 26,,,,,,Week 28,,,,,,Week 29,,,,,,Week 30,,,,,,Week 31,,,,
Incline Smith Bench Press,Week 1,2,8,100,TRUE,,Week 2,2,6,120,TRUE,,Week 3,2,6,120,TRUE,,Week 4,2,6,120,TRUE,,Week 5,2,6,130,TRUE,,Week 6,2,6,120,TRUE,,Week 7,2,6,120,TRUE,,Week 8,2,6,120,TRUE,DB 65s,Week 9,2,7,120,TRUE,,Week 10,2,6,125,TRUE,,Week 11,2,6,125,TRUE,65 DBs,Week 12,2,6,125,TRUE,2 x 65 DBs,Week 13,2,6,125,TRUE,2 x 70lb DBs,Week 14,2,6,125,TRUE,70lb DBs,Week 15,2,6,125,TRUE,,Week 16,2,6,130,TRUE,,Week 17,2,6,130,TRUE,,Week 18,2,6,140,TRUE,,Week 19,2,6,140,TRUE,,Week 20,2,6,140,TRUE,,Week 21,2,6,140,TRUE,,Week 22,2,6,140,TRUE,65lb DBs,Week 23,2,6,140,TRUE,,Week 24,2,6,135,TRUE,,Week 25,2,6,135,TRUE,,Week 26,2,6,135,TRUE,,Week 28,2,6,135,TRUE,,Week 29,2,6,135,TRUE,,Week 30,2,6,135,TRUE,Machine 8x160,Week 31,2,6,135,FALSE,Machine 8x160
Weighted Dip,,2,8,10,TRUE,,,2,10,20,TRUE,,,2,9,25,TRUE,,,2,9,25,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,BW x 12,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,8,40,TRUE,BW,,2,8,40,TRUE,BW x 15,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,6,45,TRUE,,,2,6,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,9,45,TRUE,,,2,9,45,TRUE,,,2,9,45,TRUE,,,2,9,45,TRUE,,,2,10,45,TRUE,,,2,10,45,FALSE,
Tricep Pushdown,,2,10,50,TRUE,,,2,10,50,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,Single Arm (30),,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,6,60,TRUE,,,2,6,60,TRUE,,,2,6,60,FALSE,
Chest Fly,,2,8,80,TRUE,,,2,8,80,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,120,TRUE,,,2,6,120,TRUE,,,2,6,120,FALSE,
Lateral Raise,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,TRUE,,,2,9,35,FALSE,
Pull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat Pulldown,Week 1,2,8,175,TRUE,,Week 2,2,8,175,TRUE,,Week 3,2,8,175,TRUE,,Week 4,2,8,175,TRUE,,Week 5,2,8,175,TRUE,,Week 6,2,7,175,TRUE,,Week 7,2,7,175,TRUE,,Week 8,2,6,190,TRUE,,Week 9,2,7,190,TRUE,,Week 10,2,7,190,TRUE,,Week 11,2,7,190,TRUE,,Week 12,3,8,190,TRUE,Weighted Pull ups (25lb),Week 13,3,6,190,TRUE,,Week 14,3,6,190,TRUE,,Week 15,3,6,190,TRUE,,Week 16,3,6,190,TRUE,,Week 17,3,6,190,TRUE,Weighted pull ups (35lb),Week 18,3,6,190,TRUE,Weighted pull-up (45lb),Week 19,3,6,190,TRUE,,Week 20,3,6,190,TRUE,,Week 21,3,6,190,TRUE,,Week 22,3,6,190,TRUE,,Week 23,3,5,190,TRUE,,Week 24,3,6,190,TRUE,,Week 25,2,6,190,TRUE,,Week 26,2,6,190,TRUE,,Week 28,2,6,190,TRUE,,Week 29,2,6,190,TRUE,Weighted Pull ups (45),Week 30,2,6,190,TRUE,,Week 31,2,6,190,FALSE,
Row,,2,8,75,TRUE,,,2,8,75,TRUE,,,2,8,75,TRUE,,,2,8,75,TRUE,,,2,8,75,TRUE,,,2,8,75,TRUE,,,2,8,80,TRUE,,,2,9,80,TRUE,,,2,8,85,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,187.5 machine,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,FALSE,
Preacher Curl,,2,6,35,TRUE,,,2,6,35,TRUE,,,2,6,35,TRUE,,,2,6,35,TRUE,,,2,6,35,TRUE,,,2,6,35,TRUE,,,2,6,35,TRUE,,,2,6,35,TRUE,,,2,7,35,TRUE,,,2,7,35,TRUE,,,2,7,35,TRUE,,,2,7,35,TRUE,,,2,7,35,TRUE,,,2,7,35,TRUE,,,3,7,35,TRUE,,,3,7,35,TRUE,,,3,7,35,TRUE,,,3,7,35,TRUE,,,3,7,35,TRUE,,,3,7,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,5,40,TRUE,,,2,5,40,TRUE,,,2,5,40,TRUE,,,2,5,40,TRUE,,,2,5,40,FALSE,
Cable Pullover,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,7,110,TRUE,,,2,7,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,7,120,TRUE,,,2,7,120,TRUE,,,2,7,120,TRUE,,,2,8,120,TRUE,,,2,8,120,FALSE,
Hammer Curl,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,8,40,FALSE,
Rear Delt,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,FALSE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,TRUE,,,2,8,115,FALSE,
Legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Press,Week 1,2,8,240,TRUE,,Week 2,2,8,300,TRUE,,Week 3,2,8,310,TRUE,,Week 4,1,10,310,TRUE,,Week 5,1,10,310,FALSE,Hemm + Spine,Week 6,2,9,150,TRUE,Single Leg,Week 7,1,10,300,TRUE,,Week 8,1,10,300,TRUE,,Week 9,2,10,160,TRUE,Single Leg,Week 10,2,9,180,TRUE,Single Leg,Week 11,2,10,185,TRUE,Single Leg,Week 12,2,10,185,TRUE,,Week 13,2,10,185,FALSE,,Week 14,2,10,185,TRUE,,Week 15,2,10,185,TRUE,,Week 16,2,10,185,TRUE,Split Squat (75),Week 17,2,10,185,FALSE,Split Squat (75),Week 18,2,10,185,FALSE,,Week 19,2,10,185,FALSE,,Week 20,2,10,185,TRUE,,Week 21,2,10,185,TRUE,,Week 22,2,10,185,FALSE,,Week 23,2,10,185,TRUE,,Week 24,2,8,185,TRUE,Smith Squat (160),Week 25,2,9,175,TRUE,Smith Squat,Week 26,2,8,180,TRUE,,Week 28,2,8,180,TRUE,,Week 29,2,8,180,FALSE,,Week 30,2,8,185,TRUE,,Week 31,2,8,185,FALSE,
Leg Curl,,2,10,200,TRUE,,,2,8,220,TRUE,,,2,9,225,TRUE,,,3,10,225,TRUE,,,3,9,225,TRUE,,,2,8,220,TRUE,,,3,8,120,TRUE,Single Leg,,2,8,120,TRUE,Single Leg,,2,8,240,TRUE,,,2,9,240,TRUE,,,2,8,240,TRUE,,,2,9,240,TRUE,,,2,9,240,TRUE,,,2,9,240,TRUE,,,2,9,240,FALSE,,,2,8,240,TRUE,Single Leg (100),,2,8,240,TRUE,Single Leg (105),,2,8,240,FALSE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,FALSE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,11,240,TRUE,,,2,8,250,TRUE,,,2,9,250,TRUE,,,2,9,250,TRUE,,,2,10,250,TRUE,,,2,10,250,FALSE,
Leg Extension,,2,10,200,TRUE,,,2,10,255,TRUE,,,2,10,260,TRUE,,,3,10,260,TRUE,,,3,10,260,TRUE,Single Leg (130),,2,10,220,TRUE,,,3,8,150,TRUE,Single Leg,,2,10,150,TRUE,Single Leg,,2,8,240,TRUE,,,2,9,240,TRUE,,,2,10,240,TRUE,,,2,10,240,TRUE,,,2,10,240,TRUE,,,2,10,240,TRUE,,,2,10,240,TRUE,,,2,8,240,TRUE,Single Leg (165),,2,8,240,TRUE,Single Leg (170),,2,8,240,FALSE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,300 (office),,2,8,240,FALSE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,9,240,TRUE,,,2,9,240,TRUE,,,2,9,240,FALSE,
SLDL,,2,8,45,TRUE,,,2,8,50,TRUE,,,2,8,50,FALSE,,,2,8,50,FALSE,,,2,8,50,FALSE,,,2,8,60,TRUE,,,1,10,60,TRUE,Dumbbells,,1,8,70,TRUE,Dumbells,,2,8,70,TRUE,,,2,8,70,TRUE,,,2,8,80,TRUE,,,2,8,80,TRUE,,,2,8,100,TRUE,,,2,8,100,FALSE,,,2,8,120,TRUE,,,2,8,120,TRUE,Dumbbell (180),,2,8,120,FALSE,Dumbbell (180),,2,8,120,FALSE,,,2,8,120,TRUE,,,2,8,120,TRUE,,,2,8,120,TRUE,,,2,8,120,FALSE,,,2,8,140,TRUE,,,2,10,140,TRUE,,,2,10,140,TRUE,,,2,10,140,TRUE,,,2,10,185,TRUE,,,2,8,205,TRUE,,,2,8,205,TRUE,,,2,8,205,FALSE,
Calf Raise,,3,12,220,TRUE,,,3,12,170,TRUE,,,3,12,180,TRUE,,,3,12,180,TRUE,,,3,12,180,TRUE,,,3,10,160,TRUE,Single Leg,,3,10,170,TRUE,,,3,10,170,TRUE,,,3,8,160,TRUE,Single Leg,,3,8,180,TRUE,,,3,8,180,TRUE,,,3,8,185,TRUE,,,3,8,185,TRUE,,,3,8,185,TRUE,,,3,8,185,TRUE,,,3,8,185,TRUE,,,3,8,185,TRUE,140 Single Leg,,3,8,185,FALSE,,,3,8,185,TRUE,,,3,8,185,TRUE,,,3,8,185,TRUE,,,3,8,185,FALSE,,,3,8,185,TRUE,,,3,8,180,TRUE,Single leg,,2,9,180,TRUE,Single Leg,,2,8,190,TRUE,,,2,8,190,TRUE,,,2,10,190,TRUE,,,2,8,200,TRUE,,,2,8,200,FALSE,
Adductor (Inner),,2,8,80,TRUE,,,2,8,90,FALSE,Office Gym,,2,8,90,FALSE,Office gym,,2,8,90,FALSE,Office Gym,,2,8,90,FALSE,,,2,8,100,TRUE,,,2,8,100,FALSE,Office Gym*,,2,8,100,FALSE,Office Gym*,,2,8,110,TRUE,,,2,8,120,TRUE,,,2,8,120,TRUE,,,2,8,130,TRUE,,,2,8,130,TRUE,,,2,8,130,FALSE,,,2,8,130,TRUE,,,2,8,130,FALSE,,,2,8,130,FALSE,,,2,8,130,FALSE,,,2,8,130,FALSE,,,2,8,130,TRUE,,,2,8,130,FALSE,,,2,8,130,FALSE,,,2,8,140,TRUE,,,2,8,140,TRUE,,,2,8,140,TRUE,,,2,8,150,TRUE,,,2,8,150,TRUE,,,2,8,150,TRUE,,,2,8,150,TRUE,,,2,8,150,FALSE,
Abductor (Outer),,2,8,80,TRUE,,,2,8,80,FALSE,Office Gym,,2,8,80,FALSE,,,2,8,80,FALSE,,,2,8,80,FALSE,,,2,8,90,TRUE,,,2,8,90,FALSE,,,2,8,90,FALSE,,,2,8,100,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,120,TRUE,,,2,8,120,TRUE,,,2,8,120,FALSE,,,2,8,120,TRUE,,,2,8,120,FALSE,,,2,8,120,FALSE,,,2,8,120,FALSE,,,2,8,120,FALSE,,,2,8,120,TRUE,,,2,8,120,FALSE,,,2,8,120,FALSE,,,2,8,140,TRUE,,,2,8,140,TRUE,,,2,8,140,TRUE,,,2,7,150,TRUE,,,2,8,150,TRUE,,,2,8,150,TRUE,,,2,8,150,TRUE,,,2,8,150,FALSE,