Exercise Log,,Setup (7/28 - 8/3),,,,,,,,Week 1 (8/4 - 8/10),,,,,,,,Week 2,,,,,,,,Week 3,,,,,,,,Week 4,,,,,,,,Week 5,,,,,,,,Week 6,,,,,,,,Week 7,,,,,,,,Week 8,,,,,,,,Week 9,,,,,,,,Week 10,,,,,,,,Week 11,,,,,,,,Week 12,,,,,,,,Week 13,,,,,,,,Week 14,,,,,,,,Week 15,,,,,,,,Week 16,,,,,,,,Week 17,,,,,,,,Week 18,,,,,,,,Week 19,,,,,,,,Week 20,,,,,,,,Week 21,,,,,,,,Week 22,,,,,,,,Week 23,,,,,,
Face Pull,,2,3,8,10,95,5,,,2,8,95,TRUE,Yes,,,,2,10,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,Switched to standing. Pulling upwards,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,FALSE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,
Seated Hammer Curl,,2,2,8,10,25,5,,,2,8,25,TRUE,Yes,,,,2,8,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,FALSE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,35,TRUE,,,,,2,10,35,TRUE,,,,,2,10,35,TRUE,,,,,2,10,35,TRUE,,,,,2,10,35,TRUE,,,
Legs B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Press,Setup,2,3,8,12,265,5,,Week 1,2,8,270,TRUE,Yes,,,Week 2,2,10,280,TRUE,Yes,,,Week 3,2,10,280,TRUE,Yes,,,Week 4,2,10,290,TRUE,Yes,,,Week 5,2,11,295,TRUE,Yes,,,Week 6,2,11,300,TRUE,Yes,,,Week 7,2,11,305,TRUE,Yes,,,Week 8,2,11,305,TRUE,No,,,Week 9,2,11,305,TRUE,Yes,,,Week 10,2,11,305,TRUE,,,,Week 11,2,11,310,FALSE,,,,Week 12,2,11,310,TRUE,,,,Week 13,2,11,310,FALSE,,,,Week 14,2,11,310,FALSE,,,,Week 15,2,11,320,TRUE,,,,Week 16,2,11,320,TRUE,,,,Week 17,2,11,320,TRUE,,,,Week 18,2,11,320,TRUE,,,,Week 19,2,11,320,TRUE,,,,Week 20,2,11,320,TRUE,,,,Week 20,2,11,320,TRUE,,,,Week 22,2,11,320,TRUE,,,,Week 22,2,11,320,TRUE,,,
Seated Leg Curl,,2,3,8,12,195,5,,,2,8,195,TRUE,Yes,,,,2,9,195,TRUE,Yes,,,,2,9,195,TRUE,Yes,,,,2,10,200,TRUE,Yes,,,,2,10,200,TRUE,Yes,,,,2,10,200,TRUE,Yes,,,,2,10,205,TRUE,Yes,,,,2,10,205,TRUE,No,,,,2,10,205,TRUE,Yes,,,,2,10,205,TRUE,,,,,2,10,210,FALSE,,,,,2,10,210,TRUE,,,,,2,10,210,FALSE,,,,,2,10,210,TRUE,,,,,2,10,220,TRUE,,,,,2,10,220,TRUE,,,,,2,10,225,TRUE,,,,,2,10,225,TRUE,,,,,2,10,225,TRUE,,,,,2,10,225,TRUE,,,,,2,8,230,TRUE,,,,,2,8,230,TRUE,,,,,2,8,230,TRUE,,,
Leg Extension,,2,3,10,12,230,5,,,2,10,230,TRUE,Yes,,,,2,10,230,TRUE,Yes,,,,2,10,235,TRUE,No,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,No,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,,,,,2,10,245,FALSE,,,,,2,10,245,TRUE,,,,,2,10,245,FALSE,,,,,2,10,245,TRUE,,,,,2,10,250,TRUE,,,,,2,10,250,TRUE,,,,,2,10,250,TRUE,,,,,2,10,250,TRUE,,,,,2,10,250,TRUE,,,,,2,10,255,TRUE,,,,,2,10,265,TRUE,,,,,2,10,260,TRUE,,,,,2,10,260,TRUE,,,
DB RDL,,2,3,8,12,45,5,,,2,8,45,TRUE,No,,,,2,8,45,TRUE,No,,,,2,8,45,TRUE,Yes,,,,2,8,50,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,No,,,,2,8,55,FALSE,Yes,,,,2,8,55,TRUE,,,,,2,8,55,FALSE,,,,,2,8,55,FALSE,,,,,2,8,55,FALSE,,,,,2,8,55,FALSE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,70,TRUE,,,,,2,8,70,FALSE,,,,,2,8,70,TRUE,,,,,2,8,70,TRUE,,,,,2,8,70,TRUE,,,,,2,8,70,FALSE,,,
Calf Raises,,3,3,10,12,120,5,,,3,10,120,TRUE,Yes,,,,3,10,120,TRUE,Yes,,,,3,12,120,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,No,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,,,,,3,12,130,FALSE,,,,,3,12,130,TRUE,,,,,3,12,130,FALSE,,,,,3,12,130,TRUE,,,,,3,12,130,TRUE,,,,,3,12,130,TRUE,,,,,3,12,130,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,
Dead Bugs,,2,3,10,15,15,5,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,No,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,,,,,2,10,15,FALSE,,,,,2,10,15,FALSE,,,,,2,10,15,FALSE,,,,,2,10,15,FALSE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,
Push B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Incline Bench,Setup,2,3,8,10,40,5,,Week 1,2,8,45,TRUE,Yes,,,Week 2,2,8,45,TRUE,Yes,,,Week 3,2,8,50,TRUE,Yes,,,Week 4,2,8,50,TRUE,Yes,,,Week 5,2,8,55,TRUE,Yes,,,Week 6,2,8,55,TRUE,Yes,,,Week 7,2,8,55,TRUE,Yes,,,Week 8,2,8,55,TRUE,No,,,Week 9,2,8,55,TRUE,Yes,,,Week 10,2,8,55,TRUE,,,,Week 11,2,8,55,TRUE,,,,Week 12,2,8,55,TRUE,,,,Week 13,2,8,55,TRUE,,,,Week 14,2,8,55,TRUE,,,,Week 15,2,8,55,TRUE,,,,Week 16,2,8,55,TRUE,,,,Week 17,2,8,55,TRUE,,,,Week 18,2,8,60,TRUE,,,,Week 19,2,8,62.5,TRUE,,,,Week 20,2,8,60,TRUE,,,,Week 21,2,8,60,TRUE,,,,Week 22,2,8,60,TRUE,,,,Week 23,2,8,60,TRUE,,,
DB Overhead Press,,2,2,8,10,40,5,,,2,8,40,TRUE,Yes,,,,2,8,40,TRUE,Yes,,,,2,8,45,TRUE,Yes,,,,2,8,45,TRUE,Yes,,,,2,9,45,TRUE,Yes,,,,2,10,45,TRUE,Yes,,,,2,10,45,TRUE,Yes,,,,2,10,45,TRUE,No,,,,2,10,45,TRUE,Yes,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,FALSE,,dips,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,55,TRUE,,,,,2,10,55,TRUE,,,,,2,10,55,TRUE,,,,,2,10,55,TRUE,,,,,2,10,55,TRUE,,,,,2,10,55,TRUE,,,
Single Arm Tricep Extension,,2,3,10,12,40,5,,,2,10,40,TRUE,Yes,,,,2,10,40,TRUE,Yes,,,,2,11,40,TRUE,Yes,,,,2,11,40,TRUE,Yes,,,,2,9,45,TRUE,Yes,,,,2,9,50,TRUE,Yes,,,,2,10,50,TRUE,Yes,,,,2,10,50,TRUE,No,,,,2,10,50,TRUE,Yes,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,FALSE,,dips,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,,,2,10,50,TRUE,,,
Cable Lateral Raise,,2,3,8,10,30,5,,,2,8,30,TRUE,Yes,,,,2,8,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,No,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,40,TRUE,,,,,2,10,40,TRUE,,,,,2,10,40,TRUE,,,,,2,10,40,TRUE,,,,,2,10,40,TRUE,,,,,2,10,40,TRUE,,,
Tricep Pushdown,,2,3,6,8,50,5,,,2,6,55,TRUE,Yes,,,,2,6,55,TRUE,Yes,,,,2,7,60,TRUE,Yes,,,,2,8,60,TRUE,Yes,,,,2,9,60,TRUE,Yes,,,,2,9,60,TRUE,Yes,,,,2,9,60,TRUE,Yes,,,,2,10,60,TRUE,No,,,,2,10,60,TRUE,Yes,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,FALSE,,dips,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,70,TRUE,,,,,2,10,70,TRUE,,,,,2,10,70,TRUE,,,,,2,10,70,TRUE,,,,,2,10,70,TRUE,,,
Cable Fly,,2,3,8,12,55,5,,,2,8,55,FALSE,Yes,Replaced with incline (feet elevated) push ups,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,40,TRUE,Yes,,,,2,9,45,TRUE,Yes,,,,2,9,45,TRUE,No,,,,2,9,45,TRUE,Yes,Push ups,,,2,9,45,TRUE,,,,,2,9,45,TRUE,,,,,2,9,45,TRUE,,,,,2,9,45,TRUE,,,,,2,9,45,FALSE,,dips,,,2,9,45,TRUE,,,,,2,9,45,TRUE,,,,,2,9,45,TRUE,,,,,2,9,45,TRUE,,,,,2,8,60,TRUE,,,,,2,8,60,FALSE,,dips,,,2,8,60,TRUE,,,,,2,8,60,TRUE,,,,,2,8,60,TRUE,,,
Pull B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wide Grip Pull-up,Setup,2,3,6,8,N/A,5,,Week 1,3,7,N/A,TRUE,Yes,,,Week 2,3,7,N/A,TRUE,Yes,,,Week 3,3,7,N/A,TRUE,Yes,,,Week 4,3,7,N/A,TRUE,Yes,,,Week 5,3,7,N/A,TRUE,Yes,,,Week 6,3,7,N/A,TRUE,Yes,,,Week 7,3,7,N/A,TRUE,Yes,,,Week 8,3,7,N/A,TRUE,,,,Week 9,3,7,N/A,TRUE,Yes,,,Week 10,3,7,N/A,TRUE,,,,Week 11,3,7,N/A,TRUE,,,,Week 12,3,7,N/A,TRUE,,,,Week 13,3,7,N/A,TRUE,,,,Week 14,3,7,N/A,TRUE,,,,Week 15,3,7,N/A,TRUE,,,,Week 16,3,7,N/A,TRUE,,,,Week 17,3,7,N/A,TRUE,,,,Week 18,3,7,N/A,TRUE,,,,Week 19,3,8,160,TRUE,,,,Week 20,3,8,160,TRUE,,,,Week 21,3,8,160,TRUE,,,,Week 22,3,8,160,TRUE,,,,Week 22,3,8,160,TRUE,,,
Single Arm Seated Row,,2,3,6,8,85,5,,,2,6,85,TRUE,Yes,,,,2,6,85,TRUE,Yes,,,,2,8,85,TRUE,Yes,,,,2,8,85,TRUE,Yes,,,,2,8,85,TRUE,Yes,,,,2,8,85,TRUE,Yes,,,,2,8,85,TRUE,Yes,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,Yes,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,,,,,2,8,85,TRUE,,,,,2,6,100,TRUE,,,,,2,6,100,TRUE,,,,,2,6,100,TRUE,,,,,2,6,100,TRUE,,,,,2,6,85,TRUE,,,
Cable Pullover,,2,3,6,8,105,5,,,2,6,100,TRUE,Yes,,,,2,6,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,9,100,TRUE,Yes,,,,2,9,100,TRUE,Yes,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,Yes,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,
DB Preacher Curl,,2,3,7,9,25,5,,,2,8,25,TRUE,Yes,,,,2,9,25,TRUE,Yes,,,,2,10,25,TRUE,Yes,,,,2,9,27.5,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,FALSE,,,,,2,9,30,FALSE,Yes,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,7,35,TRUE,,,,,2,8,35,TRUE,,,,,2,7,35,TRUE,,,,,2,8,35,TRUE,,,,,2,8,35,TRUE,,,,,2,8,35,TRUE,,,,,2,8,35,TRUE,,,
Face Pull,,2,3,8,8,80,5,,,2,10,80,TRUE,Yes,,,,2,10,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,
Seated Hammer Curl,,2,3,6,8,30,5,,,2,7,30,TRUE,Yes,,,,2,7,30,TRUE,Yes,,,,2,9,30,FALSE,Yes,,,,2,9,30,TRUE,Yes,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,Yes,,,,2,10,30,FALSE,,,,,2,10,30,TRUE,Yes,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,30,TRUE,,,,,2,10,35,TRUE,,,,,2,10,35,TRUE,,,,,2,10,35,TRUE,,,,,2,10,35,TRUE,,,,,2,10,35,TRUE,,,